"key","value"
"6",Chai
"8",Gói
"9",Hộp
"11",Liều
"13",Lọ 
"14",Miếng
"15",Ống
"17",Tuýp
"18",Viên
"20",Bình
"23",Lon
"24",ml
"25",Giọt
"26",Muỗng
"27",Bình xịt
"28",mg
"29",g
"30",Cuộn
"31",Can
"32",Cái
"33",Mét
"34",Bộ
"35",Cây
"36",Sợi
"37",Đôi
"38",Chiếc
"39",Túi
"40",Tép
"41",Tờ
"42",Quả
"43",Que
"44",Kg
"45",Xấp
"46",Test
"47",Tube
"48",Card
"49",Thùng
"50",Đĩa
"51",Thanh
"52",gam
"53",Lít
"54",Bịch
"55",Giờ
"56",Bơm tiêm
"57",Lần
"58",UI
"59",IU
"60",Ít
"61",mcg
"62",ngày
"63",thụt
"64",thoa
"65",rơ
"66",xịt
"67",Bơm
"68",Lọ/ống
"69",Bút tiêm
"70",MU
"71",Băng
"72",Thẻ
"73",Băng
"74",U
"75",Tấm
"76",Chỉ thị
"77",Cột
